Name,playerid,WAR23,WAR24,WAR25
Jordan Zimmermann,4505,1.9,-0.3,3.1
Jonathan Broxton,4759,1.9,2.0,2.6
Yovani Gallardo,8173,2.7,3.6,2.7
Bill Greif,1005027,1.9,2.1,-0.9
Ken Patterson,1010067,0.1,-0.8,-0.3
Craig Swan,1012754,0.1,0.1,1.5
Jay Powell,1271,0.0,0.1,1.2
Mike Norris,1009637,0.2,1.0,6.0
Aaron Myette,1263,0.4,-0.5,-0.1
Dan Miceli,1463,-0.1,0.1,-0.6
Dontrelle Willis,1703,6.5,3.0,0.9
Taylor Tankersley,8249,0.4,0.2,-0.6
Bill Bray,8538,0.4,0.3,0.5
Mike Campbell,1001887,0.2,0.5,-0.2
Scott Elbert,7489,0.0,-0.1,0.6
Jon Matlack,1008246,4.7,7.5,4.4
Jason Standridge,1229,-0.1,-0.1,-0.3
Mike Pelfrey,5203,0.4,3.1,1.9
Kyle Kendrick,6230,0.0,0.3,0.5
Mike McCormick,1008420,-1.0,-0.1,0.3
Mike Thompson,1013020,0.0,-0.2,0.9
Rick Waits,1013494,1.3,1.4,1.5
Paul Quantrill,669,0.7,1.2,-0.1
Neal Heaton,1005568,2.4,1.3,2.0
Mike Munoz,1009328,-0.1,0.0,0.0
Phil Regan,1010785,0.3,0.4,1.3
Mark Mulder,932,5.7,3.9,4.5
Fernando Cabrera,2105,0.5,-0.2,-0.5
John Candelaria,1001909,2.9,2.7,2.2
Bill Parsons,1010026,0.3,-0.9,0.0
Bruce Chen,769,1.7,0.5,-0.2
Ken Forsch,1004234,0.6,4.1,0.8
Mike Smith,1012182,0.0,-0.2,0.1
Wade Miller,568,1.6,2.8,3.4
Ted Lilly,833,-0.1,0.1,0.8
Carlos Villanueva,4138,0.4,0.7,0.5
Cole Hamels,4972,3.9,4.7,3.7
Andy Hassler,1005480,1.1,1.5,2.2
Dan Schatzeder,1011527,0.5,1.3,2.1
Pete Schourek,1011608,1.3,0.9,0.7
Scipio Spinks,1012345,0.4,2.1,0.1
Livan Hernandez,1116,0.4,2.9,4.5
Joe Moeller,1009023,0.8,-0.2,0.2
Kevin Millwood,106,3.4,5.5,4.0
Edwin Jackson,1841,1.2,1.5,3.7
Kevin Gross,1005088,1.3,3.6,1.5
Don Gullett,1005134,4.2,2.4,1.3
Gerry Hannahs,1005315,-0.1,-0.2,0.1
Joe Magrane,1007973,3.0,4.7,3.4
Matt Perisho,1423,-0.3,0.6,-0.3
Zack Greinke,1943,2.1,4.2,8.6
Ian Snell,2227,0.1,1.9,3.4
Ubaldo Jimenez,3374,0.9,4.2,5.3
Ricky Nolasco,3830,1.2,0.1,4.3
Lance Cormier,4346,-0.9,0.1,0.1
Paul Maholm,8678,0.6,1.4,1.8
Francisco Barrios,1000603,0.8,3.3,1.5
Don Shaw,1011820,0.0,0.0,-0.7
Bill Stafford,1012375,-0.8,0.4,0.6
Dan Reichert,624,1.4,0.8,-0.1
David Cone,1680,0.1,0.5,5.3
Lance Broadway,9885,0.4,-0.1,0.3
Jerry Bell,1000812,0.2,0.1,1.4
Nelson Briles,1001432,2.1,2.4,3.4
Mark Gubicza,1005115,3.0,3.8,6.2
Melido Perez,1010183,0.8,3.4,2.0
Luis Tiant,1013054,2.0,2.8,2.5
J.C. Romero,754,0.2,0.6,0.3
Blue Moon Odom,1009726,2.7,2.9,0.2
T.J. Tucker,800,0.2,0.9,0.8
Daniel Cabrera,1931,1.3,2.5,2.6
Joe Blanton,4849,0.1,2.2,3.2
Dustin McGowan,8600,0.0,-0.1,3.4
Garrett Olson,9889,0.0,0.9,-0.6
Dave Fleming,1004145,1.6,0.5,-1.1
Ray Sadecki,1011360,3.7,1.2,-0.3
Lee Smith,1012175,0.9,2.7,2.4
Eric Gagne,650,0.6,0.0,1.3
Glendon Rusch,707,1.5,-0.1,4.7
Kyle Lohse,739,1.2,2.8,1.0
Felix Hernandez,4772,7.0,6.8,5.3
Mark Thompson,1013019,-0.2,0.2,1.0
Jose Paniagua,483,-0.4,0.1,0.7
Oliver Perez,1514,-0.8,0.1,2.7
Bert Blyleven,1001098,8.5,6.2,6.7
Wally Bunker,1001652,1.3,2.3,0.4
Bob Hendley,1005637,2.8,0.9,1.0
Anibal Sanchez,3284,0.0,0.3,0.7
Rich Gossage,1004894,4.0,2.0,4.2
Dave Morehead,1009156,-0.1,1.3,0.7
Javier Vazquez,801,5.2,6.1,4.6
Chad Cordero,1816,1.0,0.1,0.5
Franquelis Osoria,2860,0.0,-0.3,-0.1
Willie Fraser,1004306,1.6,-0.7,0.6
Bill Lee,1007448,0.5,1.1,0.3
Jim Pittsley,1010379,0.4,-0.4,0.0
Bruce Ruffin,1011294,2.5,0.4,0.7
Tom Glavine,90,2.0,2.9,5.4
Doug Waechter,1814,-0.9,0.6,0.4
Jason Bergmann,4640,0.2,-0.1,0.8
Brad Bergesen,8375,1.9,0.5,0.1
Dennis Martinez,1008161,3.8,4.3,-0.2
Duaner Sanchez,1518,-0.1,0.0,0.6
Larry Gura,1005150,0.1,0.0,0.7
Kevin Correia,1767,-0.1,-0.4,1.0
Jim Brewer,1001406,0.3,-0.2,-0.5
Nino Espinosa,1003830,2.6,0.0,2.0
Tommy Greene,1005013,-0.3,2.8,0.2
Erik Hanson,1005333,0.9,2.4,6.6
Calvin Schiraldi,1011563,-0.1,1.3,0.3
Randy St. Claire,1012443,0.0,0.1,0.3
Eddie Guardado,727,0.1,0.3,0.3
Billy Buckner,8253,0.0,-0.1,0.5
Pete Broberg,1001454,0.7,-0.6,0.8
Cecil Upshaw,1013292,0.0,0.2,0.8
Jason Hammel,4538,0.3,0.3,-0.2
Dave Boswell,1001222,1.2,5.2,-0.3
Joe Johnson,1006473,0.6,2.9,0.5
Randy Myers,1009427,0.0,1.5,1.7
Joe Sparma,1012307,2.5,-0.6,2.2
Mac Suzuki,1485,0.3,0.1,2.3
John Lackey,1507,1.9,1.8,3.1
Franklin Morales,5088,0.4,-0.6,0.0
Homer Bailey,8362,1.1,1.6,1.3
Jimmy Key,1006885,-0.4,2.8,3.4
Tom Parsons,1010031,-0.1,0.3,-0.1
Jason Marquis,105,0.3,0.0,1.8
Jerry Blevins,7841,0.0,0.6,0.3
Frank Viola,1013435,0.1,3.5,3.9
Greg Swindell,76,6.3,3.3,2.7
Greg Maddux,104,3.7,5.1,5.8
Rafael Soriano,1100,1.6,0.1,0.2
Luis Mendoza,3126,0.2,0.4,-0.1
Don Aase,1000003,1.6,1.8,1.9
Tom Bradley,1001316,1.3,7.7,5.9
Mark Brownson,1001544,0.2,0.1,-0.1
Pep Harris,1005427,0.1,0.5,0.1
Steve Wilson,1014105,-0.1,1.1,1.1
Ross Detwiler,2859,1.3,-0.3,0.3
Chris Resop,3799,-0.1,-0.1,-0.2
John Maine,4773,-0.1,-0.3,0.9
Mike Busby,1001743,-0.4,0.1,0.5
Tim Davis,1003082,0.3,0.3,0.5
Paul Moskau,1009245,1.5,0.9,0.7
Jarrod Washburn,40,0.6,1.0,0.3
Tim Redding,573,0.2,0.7,2.7
LaTroy Hawkins,729,0.0,-0.1,1.6
Joe Roa,969,0.0,0.0,0.0
Brian Meadows,998,0.3,0.7,-0.1
Chris Britton,3600,0.7,-0.1,-0.2
John Hope,1006011,0.0,-0.1,-0.3
Mike Parrott,1010024,0.5,4.3,0.1
Mike Hampton,430,2.4,3.1,2.3
George Frazier,1004308,-0.1,-0.2,0.0
Scott Elarton,426,3.0,1.7,-0.9
Armando Benitez,865,0.3,1.7,0.4
Steve Trachsel,898,1.5,0.7,1.6
Rich Harden,1772,3.6,0.7,0.4
Ian Kennedy,6986,-0.2,-0.1,1.6
Steve Kealey,1006727,0.1,0.1,0.6
Brian Looney,1007745,0.2,-0.1,-0.1
Joba Chamberlain,2692,1.6,1.3,0.2
Jim Britton,1001451,0.0,1.4,0.2
Bob Milacki,1008855,0.6,2.2,0.0
Barry Zito,944,4.8,4.5,4.4
Ryan Madson,1852,1.3,0.8,0.9
Juan Oviedo,2886,-0.3,-0.1,0.4
Jim Beattie,1000731,1.4,0.7,1.0
Pedro Borbon,1001195,-0.2,-0.1,0.7
Ryan Bowen,1001248,0.6,-1.2,1.4
Bill Monbouquette,1009048,4.6,4.1,5.2
Dave Stieb,1012532,2.9,4.8,5.1
Sergio Mitre,1773,0.5,-0.1,-0.1
Rick Aguilera,1000086,2.0,1.6,1.6
Steve Arlin,1000303,-0.2,0.1,3.4
John Briscoe,1001441,-0.2,0.0,-0.2
Dick Ruthven,1011330,3.4,0.4,3.9
Jose Silva,354,0.3,1.9,1.4
Wilson Alvarez,1193,2.7,2.8,1.5
Renyel Pinto,2180,-0.1,0.1,-0.4
