Name,playerid,WAR29,WAR30,WAR31,WAR32
Livan Hernandez,1116,4.4,2.4,2.0,0.2
Kevin Millwood,106,2.9,3.4,4.3,2.1
Edwin Jackson,1841,2.2,0.7,0.0,-0.2
Wandy Rodriguez,2586,2.9,4.2,3.5,1.5
Joe Boever,1001118,0.5,-0.1,0.4,0.3
Frank DiPino,1003320,-0.2,0.8,0.8,0.5
Kevin Gross,1005088,2.4,0.9,3.4,3.2
Fritz Peterson,1010227,4.1,2.9,1.3,1.5
Bryn Smith,1012104,5.1,2.1,2.5,3.2
Rolando Arrojo,174,3.3,1.1,2.2,1.2
Zack Greinke,1943,3.5,4.5,5.4,2.3
Ubaldo Jimenez,3374,3.5,0.4,2.6,1.6
Ricky Nolasco,3830,2.3,3.5,1.3,0.8
Miguel Gonzalez,7024,1.7,0.4,0.6,2.8
Paul Maholm,8678,2.0,1.7,0.5,-0.5
Gabe White,360,-0.8,1.3,0.4,-0.3
Dave Mlicki,569,2.4,1.3,2.7,0.8
David Cone,1680,5.2,3.9,3.8,4.5
Fred Beene,1000774,0.2,1.3,0.2,-0.3
Nelson Briles,1001432,2.7,1.3,0.4,2.6
Mark Gubicza,1005115,2.1,2.3,2.7,3.0
Bob Humphreys,1006184,-0.1,1.7,-1.0,-1.0
Luis Tiant,1013054,0.5,0.9,3.6,5.0
Brad Lidge,563,1.1,0.8,2.2,-0.8
Bud Black,1001007,0.1,1.1,0.6,3.4
Steve Farr,1003953,0.9,0.8,1.5,0.8
Ron Perranoski,1010201,0.4,0.2,0.3,0.5
J.C. Romero,754,-0.5,0.0,0.0,-0.2
Paul Wilson,1234,1.2,1.5,2.0,-0.1
Tom Edens,1003671,0.0,0.6,1.4,-0.2
Marty Pattin,1010074,4.6,1.8,1.0,2.3
Walt Terrell,1012924,3.2,1.5,1.7,0.0
Bartolo Colon,375,4.4,4.7,1.4,4.1
Joe Blanton,4849,1.8,0.6,2.5,-0.4
Ray Sadecki,1011360,1.0,3.2,0.4,1.3
Lee Smith,1012175,2.9,1.6,1.5,2.4
Kyle Lohse,739,2.8,0.7,0.5,2.2
Anibal Sanchez,3284,5.8,3.3,1.3,0.9
Tim Burke,1001692,-0.3,0.8,0.6,0.4
Rich Gossage,1004894,1.4,3.6,3.5,1.5
Dave Smith,1012117,0.3,1.3,0.2,2.8
Javier Vazquez,801,4.7,4.8,4.9,5.8
C.J. Wilson,3580,4.3,5.2,2.6,2.9
Bill Lee,1007448,-0.2,1.2,0.7,1.8
Bruce Ruffin,1011294,1.7,0.7,0.5,1.6
Tom Glavine,90,4.3,5.3,3.6,4.8
Mark Redman,491,4.2,1.4,2.1,1.2
Dennis Martinez,1008161,0.1,0.0,1.0,2.8
Scott Schoeneweis,33,1.0,0.9,0.9,0.2
Dave Dravecky,1003486,2.8,1.4,3.0,0.3
Larry Gura,1005150,1.1,3.1,1.3,4.1
Antonio Alfonseca,260,0.5,0.6,0.3,0.4
Kevin Correia,1767,0.1,0.3,0.9,1.5
Jim Brewer,1001406,0.8,0.2,0.8,0.7
Eddie Guardado,727,-0.5,1.4,1.2,1.4
Burke Badenhop,9736,0.2,0.2,0.7,0.3
Bill Fischer,1004066,1.7,-0.3,2.0,-0.4
Cecil Upshaw,1013292,-0.1,0.1,0.5,-0.4
Jason Grilli,521,0.0,0.6,1.0,0.4
Jason Hammel,4538,2.6,0.6,1.8,2.3
Randy Myers,1009427,0.3,1.6,0.5,0.4
John Lackey,1507,1.4,3.2,3.4,0.9
Matt Thornton,1918,0.9,0.9,1.8,2.3
