Name,playerid,WAR29,WAR30
Bob Bruce,1001573,1.6,2.7
Joe Hoerner,1005895,0.9,0.4
Mike McCormick,1008420,1.5,0.3
Rick Waits,1013494,1.9,0.4
Wilbur Wood,1014248,8.7,6.1
Paul Quantrill,669,1.6,0.2
Gil Meche,1089,4.2,1.0
Bob Gibson,1004662,5.1,6.0
Neal Heaton,1005568,0.4,0.9
Bill Krueger,1007175,-0.1,0.0
Mike Munoz,1009328,-0.5,0.7
Phil Regan,1010785,1.6,0.7
Ryan Glynn,686,-0.1,-0.2
Mark Mulder,932,-0.4,0.0
Tanyon Sturtze,1230,0.7,1.4
John Candelaria,1001909,4.5,3.3
Eric Gunderson,1005144,0.3,-0.5
John Wyatt,1014303,-1.3,-0.2
Bruce Chen,769,-0.7,-0.2
Ken Forsch,1004234,0.5,1.5
Bobby Munoz,1009326,0.1,-0.3
Bill Risley,1010986,-0.3,-0.3
Wade Miller,568,-0.1,-0.3
Ted Lilly,833,0.5,2.1
John Grabow,1848,0.3,0.3
Andy Hassler,1005480,-0.2,0.0
Dan Schatzeder,1011527,1.3,0.8
Pete Schourek,1011608,0.8,0.4
Rod Scurry,1011700,0.0,0.6
Livan Hernandez,1116,4.4,2.4
John Ericks,1003809,-0.4,0.0
Bob Gibson,1004663,-0.5,0.0
Don Nottebart,1009651,0.9,0.3
Dick Radatz,1010630,-0.3,-1.1
Kevin Millwood,106,2.9,3.4
Randy Choate,813,0.0,0.3
Vinnie Chulk,1838,-0.3,-0.1
Wandy Rodriguez,2586,2.9,4.2
Joe Boever,1001118,0.5,-0.1
Frank DiPino,1003320,-0.2,0.8
Kevin Gross,1005088,2.4,0.9
Barry Latman,1007377,-0.2,1.5
Julio Navarro,1009466,-0.1,0.0
Fritz Peterson,1010227,4.1,2.9
Bryn Smith,1012104,5.1,2.1
Rolando Arrojo,174,3.3,1.1
Matt Perisho,1423,0.0,-0.1
Billy Brewer,1001404,-0.1,-0.1
Dave Leonhard,1007540,-0.6,0.2
Gabe White,360,-0.8,1.3
Dave Mlicki,569,2.4,1.3
David Cone,1680,5.2,3.9
Fred Beene,1000774,0.2,1.3
Nelson Briles,1001432,2.7,1.3
Mark Gubicza,1005115,2.1,2.3
Bob Humphreys,1006184,-0.1,1.7
Alan Newman,1009540,0.1,-0.1
Jim Shellenback,1011859,0.1,-0.4
Luis Tiant,1013054,0.5,0.9
Brad Lidge,563,1.1,0.8
Nelson Figueroa,683,-0.4,-0.2
Geoff Geary,1813,1.2,-0.3
Bud Black,1001007,0.1,1.1
Jerry Dipoto,1003321,1.7,0.6
Steve Farr,1003953,0.9,0.8
Gene Harris,1005414,0.0,0.1
Ron Perranoski,1010201,0.4,0.2
J.C. Romero,754,-0.5,0.0
Jorge Sosa,1228,-0.9,1.5
Paul Wilson,1234,1.2,1.5
Brian Falkenborg,1859,0.0,-0.2
Paul Doyle,1003468,0.0,-0.5
Tom Edens,1003671,0.0,0.6
Blue Moon Odom,1009726,0.3,0.2
Marty Pattin,1010074,4.6,1.8
Walt Terrell,1012924,3.2,1.5
Bartolo Colon,375,4.4,4.7
Ray Sadecki,1011360,1.0,3.2
Lee Smith,1012175,2.9,1.6
Eric Gagne,650,0.4,0.0
Glendon Rusch,707,2.8,2.3
Kyle Lohse,739,2.8,0.7
Carlos Reyes,1721,0.4,0.2
Joe Beckwith,1000758,0.6,0.9
Bert Blyleven,1001098,3.9,3.9
Orel Hershiser,1005741,4.0,5.6
Mike Perez,1010184,-0.4,0.1
Russ Swan,1012758,-0.5,-0.2
Tim Burke,1001692,-0.3,0.8
John Frascatore,1004304,-0.1,-1.1
Rich Gossage,1004894,1.4,3.6
Dave Smith,1012117,0.3,1.3
Will Ohman,296,0.5,0.8
Javier Vazquez,801,4.7,4.8
Bobby Seay,1225,0.9,1.0
Jon Adkins,1799,0.0,-0.1
Bill Lee,1007448,-0.2,1.2
Bruce Ruffin,1011294,1.7,0.7
Don Wengert,1013777,-0.2,-0.1
Marc Wilkins,1013959,-0.2,0.0
Tom Glavine,90,4.3,5.3
Mark Redman,491,4.2,1.4
Dennis Martinez,1008161,0.1,0.0
Ralph Terry,1012929,1.8,0.9
Scott Schoeneweis,33,1.0,0.9
Mike Koplove,63,0.1,0.0
Jeff Williams,674,-0.5,-0.1
Dave Dravecky,1003486,2.8,1.4
Marvin Freeman,1004326,-0.6,0.3
Larry Gura,1005150,1.1,3.1
Antonio Alfonseca,260,0.5,0.6
Jim Mecir,930,0.3,1.9
Jim Brewer,1001406,0.8,0.2
Erik Hanson,1005333,3.1,4.1
Greg Harris,1005416,1.3,0.2
Larry Sherry,1011883,0.1,0.0
Scott Terry,1012930,1.0,-0.3
Jared Fernandez,324,0.0,0.5
Eddie Guardado,727,-0.5,1.4
Bill Fischer,1004066,1.7,-0.3
Pablo Torrealba,1013135,1.8,-1.0
Jim Umbricht,1013277,-0.3,0.0
Cecil Upshaw,1013292,-0.1,0.1
Jason Grilli,521,0.0,0.6
T.J. Mathews,567,0.2,-0.1
Mike Fyhrie,1447,0.2,0.8
Mike James,1453,1.3,0.3
Randy Myers,1009427,0.3,1.6
Ed Olwine,1009797,-0.2,-0.4
John Lackey,1507,1.4,3.2
Matt Thornton,1918,0.9,0.9
Matt Whiteside,1956,0.8,-0.4
Paul Foytack,1004287,0.4,1.2
Jimmy Key,1006885,2.4,5.3
Dale Murray,1009383,-0.5,-0.2
Jason Marquis,105,1.7,3.2
Tom Browning,1001566,1.8,2.7
Al Holland,1005947,1.0,2.1
Bob Priddy,1010532,-0.2,-0.2
Frank Viola,1013435,5.0,5.8
Greg Swindell,76,1.2,1.0
Greg Maddux,104,7.9,7.8
Don Aase,1000003,0.8,1.5
Jim Bunning,1001653,6.3,4.6
Greg Cadaret,1001810,1.6,-0.4
Mark Gardner,1004529,0.8,1.9
Brian Holton,1005986,0.4,-0.3
Vance Law,1007409,0.0,0.0
Ken Mackenzie,1007919,-0.4,-0.1
Sonny Siebert,1011951,3.4,2.3
Jarrod Washburn,40,1.7,2.0
Tim Redding,573,0.2,1.2
LaTroy Hawkins,729,1.6,2.6
Brian Meadows,998,0.3,-0.5
Bryan Harvey,1005469,0.4,2.6
Dooley Womack,1014203,0.8,-0.2
Mike Hampton,430,0.3,2.6
Randy Flores,1446,0.3,0.0
Dwight Bernard,1000887,-0.1,1.0
George Frazier,1004308,1.2,-1.3
Tim Leary,1007438,4.7,2.3
Pat Perry,1010215,-0.4,0.1
Bob Veale,1013391,8.0,5.3
Scott Elarton,426,0.8,-1.1
Armando Benitez,865,1.0,0.9
Steve Trachsel,898,2.4,2.0
Dick Egan,1003699,-0.1,-0.5
Bert Roberge,1011022,0.3,0.1
Dick Stigman,1012534,-0.1,-0.4
Pat Zachry,1014407,0.6,0.7
Dom Zanni,1014417,-0.1,0.3
Wayne Granger,1004945,-0.1,0.0
Joe Hesketh,1005747,1.2,-0.1
Barry Zito,944,1.6,1.3
Mike Timlin,1187,1.3,1.4
Jack Taschner,2766,0.4,0.0
Jim Beattie,1000731,4.1,0.6
Pedro Borbon,1001195,1.0,1.3
Jeff Brantley,1001358,-0.6,1.0
Mark Eichhorn,1003712,2.1,1.9
Jack McDowell,1008473,3.5,3.5
Bill Monbouquette,1009048,0.7,2.1
Kevin Ritz,1010998,1.1,3.1
Ken Sanders,1011417,1.2,-0.5
Dave Stieb,1012532,2.5,3.1
Chris Brock,130,-0.9,-0.3
Todd Wellemeyer,1709,1.7,-0.1
Heath Bell,2080,2.5,1.2
Rick Aguilera,1000086,1.5,0.8
Dick Ruthven,1011330,3.2,1.6
Rodrigo Lopez,150,2.0,1.7
Scott Downs,773,1.0,0.5
Trevor Hoffman,1035,2.3,3.1
