Name,playerid1,1ySeason,W,L,SV,G,GS,IP,Kd9,BBd9,HRd9,BABIP,LOBp,ERA,FIP15,Age,CG,ShO,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,KdBB,AVG,WHIP,FIP33,RAR,WAR,WPA,nWPA,pWPA,RE24,REW,pLI,gmLI,exLI,Pulls,WPAdLI,Clutch,SD,MD,ERAm,FIPm,RA9WAR,BIPWins,LOBWins,FDPWins,KBBp,kwERA,TTOp,playerid58,ServiceTime,FutureWAR,prediction
Rick Aguilera,1000086,1989,9,11,7,47,11,145.0,8.5,2.36,0.5,0.299,0.751,2.79,2.44,27,3,0,594,130,51,45,8,38,4,3,4,3,137,3.61,0.235,1.16,2.44,31.4,3.6,-0.36,-10.65,10.29,16.01,1.76,1.04,1.19,1.17,25,1.73,-2.08,14,8,75,66,3.0,-0.7,0.1,-0.6,0.167,2.47,0.308,1000086,4,1.3,1
Rick Aguilera,1000086,1990,5,3,32,56,0,65.1,8.4,2.62,0.69,0.279,0.718,2.76,2.99,28,0,0,268,55,27,20,5,19,6,4,3,0,61,3.21,0.224,1.13,2.99,12.4,1.3,2.88,-7.42,10.31,10.81,1.15,2.02,1.97,0.34,2,1.21,0.21,27,5,67,77,1.1,0.0,-0.2,-0.2,0.157,2.73,0.317,1000086,5,1.5,1
Rick Aguilera,1000086,1991,4,5,42,63,0,69.0,7.96,3.91,0.39,0.228,0.777,2.35,3.0,29,0,0,275,44,20,18,3,30,6,1,3,0,61,2.03,0.18,1.07,3.0,14.1,1.5,1.13,-8.74,9.87,14.32,1.43,2.0,1.93,2.34,3,1.65,-1.08,36,7,55,75,2.6,0.7,0.4,1.1,0.113,3.34,0.342,1000086,6,0.8,1
Rick Aguilera,1000086,1992,2,6,41,64,0,66.2,7.02,2.3,0.95,0.27,0.733,2.84,3.4,30,0,0,273,60,28,21,7,17,4,1,5,0,52,3.06,0.235,1.16,3.4,7.5,0.8,0.21,-9.05,9.26,4.89,0.41,2.0,1.72,1.15,3,0.81,-0.7,28,8,70,87,0.9,0.1,0.0,0.1,0.128,2.94,0.278,1000086,7,1.0,1
Rick Aguilera,1000086,1993,4,3,34,65,0,72.1,7.34,1.74,1.12,0.25,0.801,3.11,3.6,31,0,0,287,60,25,25,9,14,3,1,1,0,59,4.21,0.221,1.02,3.6,9.7,1.0,1.96,-7.13,9.09,10.37,0.98,1.7,1.54,1.98,4,1.2,-0.04,26,6,70,83,1.9,0.7,0.2,1.0,0.157,3.08,0.286,1000086,8,0.8,1
Rick Aguilera,1000086,1994,1,4,23,44,0,44.2,9.27,2.01,1.41,0.362,0.769,3.63,3.78,32,0,0,201,57,23,18,7,10,3,0,2,0,46,4.6,0.298,1.5,3.78,8.9,0.8,0.44,-6.61,7.05,0.62,0.02,1.98,1.95,1.99,4,0.02,0.2,14,7,74,80,0.6,-0.7,0.5,-0.2,0.179,3.19,0.313,1000086,9,1.3,1
Rick Aguilera,1000086,1995,3,3,32,52,0,55.1,8.46,2.11,0.98,0.265,0.853,2.6,3.39,33,0,0,223,46,16,16,6,13,1,1,0,0,52,4.0,0.22,1.07,3.39,14.1,1.3,2.93,-5.33,8.25,15.95,1.43,1.92,1.97,2.28,1,1.34,0.19,24,5,54,73,2.4,0.3,0.8,1.1,0.175,3.21,0.318,1000086,10,1.5,1
Rick Aguilera,1000086,1996,8,6,0,19,19,111.1,6.71,2.18,1.62,0.296,0.675,5.42,4.82,34,2,0,484,124,69,67,20,27,1,3,6,0,83,3.07,0.273,1.36,4.82,16.2,1.5,-0.07,-8.86,8.79,-0.9,-0.02,0.98,0.88,1.1,17,0.19,-0.26,0,0,107,98,1.2,0.2,-0.4,-0.3,0.116,4.12,0.269,1000086,11,0.8,1
Rick Aguilera,1000086,1997,5,4,26,61,0,68.1,8.96,2.9,1.19,0.304,0.785,3.82,3.88,35,0,0,285,65,29,29,9,22,3,2,3,0,68,3.09,0.249,1.27,3.88,8.1,0.8,0.79,-7.76,8.55,5.15,0.53,1.74,1.44,1.71,4,0.45,0.0,18,10,82,86,1.3,0.0,0.5,0.5,0.161,3.43,0.347,1000086,12,1.4,1
Rick Aguilera,1000086,1998,4,9,38,68,0,74.1,6.9,1.82,0.97,0.296,0.702,4.24,3.65,36,0,0,307,75,35,35,8,15,1,1,1,0,57,3.8,0.258,1.21,3.65,14.3,1.4,-1.02,-12.52,11.5,7.16,0.71,2.19,2.01,2.3,4,0.88,-1.34,31,13,88,81,1.4,0.0,0.0,0.0,0.137,3.77,0.261,1000086,13,0.8,1
Rick Aguilera,1000086,1999,9,4,14,61,0,67.2,5.99,1.6,1.06,0.23,0.757,2.93,3.96,37,0,0,267,54,25,22,8,12,1,2,4,1,45,3.75,0.213,0.98,3.96,8.9,0.8,1.02,-7.26,8.28,13.91,1.26,1.68,1.45,1.33,21,1.45,-0.85,22,9,64,85,1.7,1.0,-0.2,0.9,0.124,4.06,0.243,1000086,14,-0.7,1
Darrel Akerfelds,1000096,1987,2,6,0,16,13,74.2,5.06,4.58,2.17,0.273,0.665,6.75,6.69,25,1,0,347,84,60,56,18,38,1,7,7,0,42,1.11,0.278,1.63,6.69,-9.3,-0.8,-1.39,-7.41,6.02,-11.8,-1.17,1.02,0.83,1.14,15,-1.78,0.42,1,0,150,150,-0.8,0.2,-0.2,0.0,0.012,4.95,0.282,1000096,1,-1.3,1
Darrel Akerfelds,1000096,1990,5,2,3,71,0,93.0,4.06,5.23,0.97,0.192,0.713,3.77,5.14,28,0,0,395,65,45,39,10,54,8,3,7,1,42,0.78,0.192,1.28,5.14,-12.6,-1.3,2.2,-6.01,8.21,3.4,0.36,1.15,1.3,1.33,53,0.4,1.51,22,10,99,134,0.1,2.1,-0.7,1.4,-0.03,4.97,0.268,1000096,2,-0.4,1
Scott Aldred,1000115,1991,2,4,0,11,11,57.1,5.49,4.71,1.41,0.274,0.676,5.18,5.25,23,1,0,253,58,37,33,9,30,2,0,3,1,35,1.17,0.26,1.53,5.25,0.6,0.1,-0.37,-4.57,4.19,-2.45,-0.18,1.0,0.87,1.37,10,-0.06,-0.31,0,0,125,125,-0.1,0.2,-0.3,-0.2,0.02,4.45,0.293,1000115,1,-0.4,1
Scott Aldred,1000115,1992,3,8,0,16,13,65.0,4.71,4.57,1.66,0.306,0.655,6.78,5.8,24,0,0,304,80,51,49,12,33,4,3,1,0,34,1.03,0.299,1.74,5.8,-4.7,-0.4,-1.71,-6.91,5.2,-17.94,-1.81,1.1,0.96,1.27,16,-1.59,0.04,1,1,169,144,-1.0,-0.3,-0.2,-0.5,0.003,4.44,0.26,1000115,2,1.0,1
Scott Aldred,1000115,1996,6,9,0,36,25,165.1,6.04,3.7,1.58,0.309,0.629,6.21,5.45,28,0,0,748,194,125,114,29,68,4,6,10,1,111,1.63,0.288,1.58,5.45,10.6,1.0,-2.32,-13.29,10.96,-24.28,-2.14,0.86,0.84,0.77,36,-0.87,-1.83,2,2,123,110,-0.2,-0.2,-0.9,-1.1,0.058,4.82,0.278,1000115,3,-0.9,1
