Name,playerid,WAR25,WAR26,WAR27,WAR28
Felix Heredia,1304,0.4,-0.2,0.0,-0.1
Jeff Locke,2929,1.1,0.1,1.3,0.3
John Danks,6329,4.5,2.9,0.3,0.2
Ramiro Mendoza,836,1.7,2.0,1.9,0.5
David Wells,855,-0.9,1.8,3.8,2.5
Tom Hall,1005262,0.4,-0.2,-0.6,-0.5
Rick Reuschel,1010852,4.7,4.7,4.8,6.5
Jason Jennings,434,1.5,1.4,4.2,0.4
Mike Jackson,732,0.1,1.5,0.4,0.9
Doug Davis,1244,3.6,0.6,0.7,4.4
Adam Wainwright,2233,3.7,2.4,5.2,5.0
Vida Blue,1001094,5.1,7.6,4.9,5.6
Dean Chance,1002130,2.9,6.9,7.7,1.3
Rich Gale,1004444,1.0,1.8,-0.1,1.5
Juan Guzman,1005162,5.5,4.3,1.8,1.8
Carlos Silva,973,2.6,2.1,-0.5,2.6
Josh Johnson,4567,5.6,6.1,1.7,3.3
Craig Kimbrel,6655,2.2,2.5,1.3,1.2
Jesse Jefferson,1006380,0.0,-0.7,-0.4,2.4
Bob Ojeda,1009756,1.8,2.8,3.1,4.2
Guillermo Mota,1467,0.0,0.2,-0.3,0.4
Bob Forsch,1004233,3.0,0.4,2.0,1.8
Pascual Perez,1010185,1.3,4.0,2.6,0.2
Dan Spillner,1012342,-0.5,1.3,1.4,1.4
Jordan Zimmermann,4505,3.1,3.3,3.8,5.4
Vance Worley,6435,-0.2,1.4,0.4,0.1
Yovani Gallardo,8173,2.7,2.0,1.5,1.6
Ken Patterson,1010067,-0.3,-0.2,-1.0,-0.3
Don Schwall,1011657,2.5,0.7,0.6,1.2
Craig Swan,1012754,1.5,1.7,3.8,4.4
Mike Norris,1009637,6.0,0.9,-0.2,0.8
Dave Stewart,1012519,0.4,1.7,0.5,-0.1
Derek Lowe,199,2.4,2.2,2.4,1.6
Dan Miceli,1463,-0.6,0.3,1.1,0.2
Chris Young,3196,0.5,3.4,2.2,4.3
Mike Montgomery,4869,0.2,1.0,1.3,1.5
J.A. Happ,7410,0.4,1.6,1.0,0.7
Dallas Keuchel,9434,1.1,3.4,5.6,2.4
Dennis Lamp,1007284,2.9,3.3,1.4,2.3
Greg Hibbard,1005764,3.5,1.0,1.2,2.2
Les Lancaster,1007287,1.5,0.3,2.3,0.4
Jon Matlack,1008246,4.4,4.4,2.6,6.8
Jose Jimenez,435,2.3,1.3,0.5,1.1
Zach McAllister,2895,1.6,1.4,0.9,0.4
Kyle Kendrick,6230,0.5,0.2,1.2,2.0
Gene Brabender,1001293,2.0,1.2,0.6,1.1
Rick Waits,1013494,1.5,2.8,1.7,3.0
Wilbur Wood,1014248,1.3,1.3,0.4,1.9
Paul Quantrill,669,-0.1,2.0,0.3,1.9
Gil Meche,1089,1.1,0.5,1.9,3.7
Francisco Liriano,3201,0.7,5.6,0.6,1.5
Bob Gibson,1004662,3.9,6.0,4.4,5.8
Neal Heaton,1005568,2.0,0.9,2.3,-1.0
Bill Krueger,1007175,1.2,0.8,0.9,-0.1
Phil Regan,1010785,1.3,0.3,1.0,0.4
Mark Mulder,932,4.5,2.4,1.9,-0.5
John Candelaria,1001909,2.2,4.0,0.4,3.7
Bobby Jenks,8645,1.8,2.2,1.3,0.2
Ken Forsch,1004234,0.8,2.6,1.0,0.7
Wade Miller,568,3.4,3.3,1.2,1.0
Ted Lilly,833,0.8,1.3,3.1,3.0
John Grabow,1848,0.3,0.0,0.6,0.3
Carlos Villanueva,4138,0.5,0.1,1.3,0.6
Cole Hamels,4972,3.7,3.6,5.1,4.6
Andy Hassler,1005480,2.2,1.7,0.9,0.6
Dan Schatzeder,1011527,2.1,-0.5,0.2,1.1
Pete Schourek,1011608,0.7,4.2,1.0,-0.4
Rod Scurry,1011700,0.5,1.0,-0.6,1.1
Livan Hernandez,1116,4.5,2.3,2.7,4.4
Don Nottebart,1009651,0.9,0.3,3.7,1.9
Dick Radatz,1010630,3.0,2.9,2.9,1.4
Kevin Millwood,106,4.0,0.9,4.6,4.7
Vinnie Chulk,1838,0.2,0.1,0.3,0.9
Edwin Jackson,1841,3.7,3.2,3.4,2.1
Kevin Gross,1005088,1.5,0.8,2.4,1.6
Barry Latman,1007377,1.6,1.4,1.1,0.4
Fritz Peterson,1010227,2.8,3.6,6.8,4.4
Zack Greinke,1943,8.6,4.9,3.2,4.8
Ian Snell,2227,3.4,2.2,1.1,-0.5
Ubaldo Jimenez,3374,5.3,5.9,3.3,0.9
Ricky Nolasco,3830,4.3,4.2,2.2,3.2
Lance Cormier,4346,0.1,-1.0,0.5,0.2
Paul Maholm,8678,1.8,3.2,3.7,1.8
Gabe White,360,0.4,0.2,0.2,3.0
David Cone,1680,5.3,3.3,5.0,6.5
Jose Quintana,11423,5.0,4.3,5.0,4.1
Nelson Briles,1001432,3.4,0.7,1.2,3.5
