Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9
Dick Drago,1003475,2.5,3.8,4.7,2.9,2.8,1.9,0.8,-0.6,0.5
Jason Grimsley,602,0.6,0.2,0.5,1.4,-0.4,0.9,0.2,0.3,0.9
Edinson Volquez,3990,-0.2,0.5,3.6,0.2,0.7,-0.3,1.4,0.7,0.7
Bob Miller,1008877,1.2,0.3,0.7,2.7,1.1,0.4,0.3,-1.0,0.7
Mel Rojas,1011153,-0.6,0.4,1.4,0.3,0.9,1.2,2.0,-0.2,-0.7
Lary Sorensen,1012279,2.3,5.0,1.9,2.4,3.0,2.0,2.2,0.9,0.1
Diego Segui,1011725,1.0,2.0,1.7,1.6,0.8,0.6,0.3,1.3,2.2
Bob Shirley,1011911,1.6,1.9,2.3,-0.1,0.1,0.1,1.0,0.9,2.4
Graeme Lloyd,783,0.6,0.6,0.1,0.7,-0.1,0.4,0.1,0.5,0.0
Al Downing,1003450,4.7,4.2,3.0,1.8,3.9,0.2,1.5,0.5,3.1
Rick Mahler,1007988,1.4,2.4,3.4,2.8,2.1,1.0,4.3,3.2,0.8
Jeff Suppan,633,1.5,0.5,2.8,1.9,2.5,1.3,2.7,1.4,1.8
Jim Lonborg,1007724,2.5,2.8,5.7,0.2,1.8,0.7,1.9,2.3,0.8
Jim Slaton,1012054,0.1,0.0,2.4,2.1,0.8,4.1,1.5,1.3,3.5
Andy Benes,1144,0.9,2.9,3.6,4.7,3.5,4.2,3.3,2.4,5.1
Huston Street,8258,1.7,2.3,1.4,1.1,1.5,0.8,0.4,1.1,-0.8
Clay Carroll,1001997,-0.1,1.5,0.2,1.0,0.6,1.4,0.2,0.4,0.4
Andy Pettitte,840,3.2,4.6,7.2,3.2,2.6,3.9,5.8,3.9,5.1
Burt Hooton,1006005,4.1,5.3,2.4,3.9,3.1,5.2,3.3,4.4,1.8
John Danks,6329,0.6,5.0,2.7,4.5,2.9,0.3,0.2,0.6,1.3
Scott Linebrink,564,0.7,1.4,1.8,1.0,-0.5,0.5,0.1,-0.1,-0.5
Ramiro Mendoza,836,1.1,1.7,2.0,1.9,0.5,1.7,1.3,-0.1,0.1
David Wells,855,-0.9,1.8,3.8,2.5,0.4,3.0,2.3,3.7,3.4
Casey Janssen,7355,1.0,0.9,0.2,0.3,1.2,1.1,1.2,0.1,0.0
Rick Reuschel,1010852,4.2,6.1,4.7,4.7,4.8,6.5,4.5,3.9,4.7
Mike Jackson,732,0.0,0.7,0.6,0.1,1.5,0.4,0.9,1.1,0.3
Doug Davis,1244,0.5,3.6,0.6,0.7,4.4,3.7,2.8,2.2,2.3
Adam Wainwright,2233,1.2,3.7,2.4,5.2,5.0,3.9,6.2,5.0,2.7
Vida Blue,1001094,-1.1,1.5,8.8,2.1,2.1,5.5,5.1,7.6,4.9
Dean Chance,1002130,3.5,4.8,7.6,3.2,2.9,6.9,7.7,1.3,1.7
Juan Guzman,1005162,3.4,5.5,4.3,1.8,1.8,4.6,-0.2,2.8,2.5
Carlos Silva,973,0.7,0.1,2.6,2.1,-0.5,2.6,1.4,-0.1,1.7
Joe Nathan,1122,-0.3,-0.1,1.2,3.0,2.6,3.1,2.0,1.9,1.8
Jesse Jefferson,1006380,-0.2,0.0,-0.7,-0.4,2.4,0.7,-0.5,0.9,0.6
Bob Ojeda,1009756,0.5,0.2,1.8,2.8,3.1,4.2,0.5,5.1,1.0
Jim Rooker,1011183,2.2,2.9,0.8,1.2,2.9,5.4,1.9,2.2,1.6
Tim Worrell,1139,0.6,1.9,-0.2,1.0,0.7,0.3,0.9,1.0,1.4
Guillermo Mota,1467,0.0,0.2,-0.3,0.4,2.1,1.3,0.6,-0.3,0.2
Bob Forsch,1004233,1.3,3.0,0.4,2.0,1.8,2.8,3.5,1.4,2.1
Pascual Perez,1010185,0.9,1.3,4.0,2.6,0.2,1.9,2.9,3.9,1.1
Dan Spillner,1012342,1.0,1.5,-0.4,-0.5,1.3,1.4,1.4,1.6,2.6
Jordan Zimmermann,4505,1.9,-0.3,3.1,3.3,3.8,5.4,3.0,1.4,1.3
Jonathan Broxton,4759,1.4,1.9,2.0,2.6,1.0,1.1,-0.3,0.7,0.2
Yovani Gallardo,8173,2.6,2.7,3.6,2.7,2.0,1.5,1.6,2.5,0.6
Craig Swan,1012754,0.1,0.1,1.5,1.7,3.8,4.4,0.5,1.7,-0.6
Dave Stewart,1012519,0.3,0.4,1.7,0.5,-0.1,1.5,4.8,5.1,3.2
Derek Lowe,199,0.4,2.4,2.2,2.4,1.6,4.6,2.4,2.2,2.8
Dan Miceli,1463,0.1,-0.6,0.3,1.1,0.2,0.8,0.3,-0.1,1.1
Chris Young,3196,0.5,3.4,2.2,4.3,1.5,0.1,1.1,-0.1,1.0
J.A. Happ,7410,0.4,1.6,1.0,0.7,1.8,1.0,1.2,3.2,2.9
Dennis Lamp,1007284,0.2,2.9,3.3,1.4,2.3,3.4,1.7,0.0,2.0
Mike Marshall,1008144,0.0,0.9,0.8,0.3,1.8,1.6,4.4,0.4,0.4
Yusmeiro Petit,4020,0.2,0.1,0.1,0.8,1.7,-0.1,-0.2,2.0,0.7
Jon Matlack,1008246,0.5,4.9,4.7,7.5,4.4,4.4,2.6,6.8,1.2
Mike Pelfrey,5203,0.4,3.1,1.9,2.8,1.2,2.4,2.3,0.5,-1.0
Joe Hoerner,1005895,0.9,0.4,0.7,0.4,0.4,0.7,0.0,0.4,0.1
Mike McCormick,1008420,5.1,2.5,-1.0,-0.1,1.9,2.0,2.0,1.5,0.3
Rick Waits,1013494,1.3,1.4,1.5,2.8,1.7,3.0,1.9,0.4,0.6
Wilbur Wood,1014248,0.2,0.4,1.3,1.3,0.4,1.9,8.7,6.1,7.4
Paul Quantrill,669,0.7,1.2,-0.1,2.0,0.3,1.9,1.6,0.2,0.9
Gil Meche,1089,0.4,1.5,1.5,1.1,0.5,1.9,3.7,4.2,1.0
Francisco Liriano,3201,3.6,1.4,0.7,5.6,0.6,1.5,3.1,1.6,3.3
Bob Gibson,1004662,1.1,3.9,6.0,4.4,5.8,5.1,6.0,4.3,8.6
Neal Heaton,1005568,0.4,2.4,1.3,2.0,0.9,2.3,-1.0,0.4,0.9
Bill Krueger,1007175,1.2,0.8,0.9,-0.1,0.8,0.8,2.0,1.9,1.4
Phil Regan,1010785,0.3,0.4,1.3,0.3,1.0,0.4,1.6,0.7,0.4
Jason Vargas,8044,1.7,-0.6,0.5,3.4,2.7,1.5,1.7,2.3,0.4
Brett Anderson,8223,3.7,2.5,1.0,0.9,0.3,1.1,1.5,0.8,0.9
John Candelaria,1001909,2.6,2.5,2.9,2.7,2.2,4.0,0.4,3.7,4.5
Bruce Chen,769,-0.1,1.7,0.5,-0.2,0.6,1.6,-0.7,0.0,1.2
Ken Forsch,1004234,4.1,0.8,2.6,1.0,0.7,0.5,1.5,2.4,1.8
Ted Lilly,833,0.8,1.3,3.1,3.0,0.5,2.1,3.8,2.8,3.7
Carlos Villanueva,4138,0.5,0.4,0.7,0.5,0.1,1.3,0.6,1.2,1.3
Cole Hamels,4972,2.6,3.9,4.7,3.7,3.6,5.1,4.6,4.6,4.5
Andy Hassler,1005480,0.4,1.1,1.1,1.5,2.2,1.7,0.9,0.6,-0.2
Dan Schatzeder,1011527,0.5,1.3,2.1,-0.5,0.2,1.1,1.3,0.8,-0.4
Pete Schourek,1011608,0.5,1.3,0.9,0.7,4.2,1.0,-0.4,0.8,0.4
Livan Hernandez,1116,1.9,0.4,2.9,4.5,2.3,2.7,4.4,4.4,2.4
Kevin Millwood,106,1.3,3.4,5.5,4.0,0.9,4.6,4.7,2.9,3.4
Edwin Jackson,1841,0.1,1.2,1.5,3.7,3.2,3.4,2.1,2.2,0.7
Wandy Rodriguez,2586,0.4,1.1,3.1,2.9,4.2,3.5,1.5,2.8,0.3
