Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9,WAR10,WAR11,WAR12,WAR13,WAR14
Kyle Farnsworth,278,-0.4,-0.3,2.0,-0.4,1.2,0.3,1.5,1.1,-0.2,-0.7,0.6,0.8,1.0,-0.1
Randy Wolf,976,0.8,2.9,3.4,3.9,2.5,1.7,0.7,-0.1,1.9,2.6,3.0,0.7,2.2,0.6
Stan Bahnsen,1000414,4.4,1.0,2.3,2.2,3.2,3.3,1.1,1.7,1.1,0.8,-0.6,-0.1,-0.1,-0.6
Mariano Rivera,844,0.3,4.3,2.0,1.2,2.1,1.9,3.2,1.4,2.5,2.5,2.9,2.2,2.0,3.0
Mark Buehrle,225,0.6,4.0,4.3,4.3,4.5,5.9,1.7,3.3,4.3,3.0,4.0,3.1,1.6,2.2
Tom Gordon,282,2.4,2.5,1.6,1.0,2.5,2.2,3.5,2.8,4.4,2.7,1.5,0.7,2.1,2.8
Fergie Jenkins,1006388,1.8,4.5,6.3,8.2,9.5,9.6,4.8,4.2,7.8,2.7,3.7,2.3,5.3,2.0
Don Sutton,1012745,4.7,3.0,4.0,3.9,1.9,7.1,6.8,6.0,4.7,5.4,3.3,3.8,2.7,3.7
Jose Mesa,961,-0.1,0.5,0.8,0.9,2.9,1.7,2.1,1.4,1.0,0.4,-0.9,0.4,1.6,0.6
Don Robinson,1011061,3.4,2.5,2.1,-0.5,1.0,0.0,2.0,0.8,0.5,1.5,2.7,1.7,1.3,0.5
CC Sabathia,404,2.7,3.6,3.5,2.8,3.6,5.0,6.4,7.4,5.8,5.5,5.8,4.0,2.1,0.0
Fernando Rodney,494,0.4,0.5,0.6,0.3,0.3,0.2,-0.4,2.2,1.2,1.0,-0.8,0.4,1.3,0.5
Terry Mulholland,665,0.2,0.6,1.4,2.4,4.6,3.8,2.9,0.5,0.1,2.5,1.3,1.4,2.1,1.1
Tommy John,1006515,1.1,3.0,3.8,2.6,2.9,3.8,4.4,4.5,3.0,3.3,3.7,3.5,5.1,4.3
Milt Pappas,1009989,3.0,1.4,1.2,2.1,4.8,3.0,3.7,3.8,2.2,1.4,3.3,3.3,3.1,1.2
Dave Giusti,1004748,0.4,1.0,2.0,2.7,3.8,1.2,1.3,0.4,1.1,0.2,1.7,0.4,-0.6,0.5
Greg Harris,1005415,0.4,0.2,0.3,2.0,1.4,1.7,-0.1,-0.1,2.6,2.5,0.5,1.2,-0.2,0.3
