"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Steve Barber","1000530","1.7","3.5","2.3","5.4","1.1","2.9","2.6","0.6","0.9","0.8","0.5","-0.3","0.7","E"
"Jim Palmer","1009973","0.6","2","-0.1","3.7","6.2","4.6","4.4","4.6","1.9","6.9","4.2","5.5","4.4","L"
"Matt Belisle","   1837","0.4","0","2.4","0","2","1.2","1.8","1.3","0.4","0.1","0.7","0.6","-0.2","A"
"Kirk Rueter","   1128","1.4","1","1","0.9","3","0.9","1.4","1.2","0.8","1.3","0.7","0.7","0","A"
"Danny Darwin","1002996","1","2.5","1.7","1","3.2","3.7","1.3","3.2","2.6","1","1.6","2.8","-0.1","B"
"Ryan Dempster","    517","-0.3","0.7","3.4","2.2","1.4","0.7","1.8","0.9","0.2","4.7","3.6","2.5","2.6","F"
"Dave Burba","   1239","-0.2","0.5","0.1","0.6","1.2","2.3","1.1","1.8","3","4.2","2.5","1.6","0.2","F"
"Paul Splittorff","1012346","3.7","3.9","4.1","1.4","2","0.9","3.7","2.9","1.8","2.4","0.7","1.9","2.2","G"
"Todd Jones","    436","-0.1","1.4","0.4","-0.4","1.8","0.3","0.8","1.4","0.1","0.9","0","0.9","2.4","A"
"Matt Cain","   4732","0.7","3.8","4.1","3.7","3.3","4","4.5","3.2","1.2","-0.2","-0.5","-0.1","0.3","D"
"A.J. Burnett","    512","0.6","0.9","1.4","4.8","2.9","5","2.9","2.3","5","2.8","1.4","0.6","3.5","C"
"Mike Torrez","1013134","0.4","1.6","-0.4","2.2","1","2.4","2.4","3.3","2.3","3.3","3.3","2.6","1.2","F"
"Dick Drago","1003475","2.5","3.8","4.7","2.9","2.8","1.9","0.8","-0.6","0.5","0.6","2.5","-0.1","0.8","E"
"Bob Miller","1008877","1.2","0.3","0.7","2.7","1.1","0.4","0.3","-1","0.7","1.7","0","0.8","-0.3","A"
"Diego Segui","1011725","1","2","1.7","1.6","0.8","0.6","0.3","1.3","2.2","0.6","0.7","0.9","0.7","A"
"Al Downing","1003450","4.7","4.2","3","1.8","3.9","0.2","1.5","0.5","3.1","2.2","1.9","1.1","0.3","E"
"Jeff Suppan","    633","1.5","0.5","2.8","1.9","2.5","1.3","2.7","1.4","1.8","1.9","2.6","0","-0.4","B"
"Jim Lonborg","1007724","2.5","2.8","5.7","0.2","1.8","0.7","1.9","2.3","0.8","4.4","2.1","3.2","1.8","G"
"Jim Slaton","1012054","0.1","0","2.4","2.1","0.8","4.1","1.5","1.3","3.5","0.4","0.2","-1.6","0.6","B"
"Andy Benes","   1144","0.9","2.9","3.6","4.7","3.5","4.2","3.3","2.4","5.1","3.3","1.3","1.6","-1.5","C"
"Clay Carroll","1001997","-0.1","1.5","0.2","1","0.6","1.4","0.2","0.4","0.4","1.8","1.2","1.1","-0.4","A"
"Andy Pettitte","    840","3.2","4.6","7.2","3.2","2.6","3.9","5.8","3.9","5.1","1.9","5.8","3.4","4","I"
"Burt Hooton","1006005","4.1","5.3","2.4","3.9","3.1","5.2","3.3","4.4","1.8","3.3","1.8","0.3","0.6","D"
"David Wells","    855","-0.9","1.8","3.8","2.5","0.4","3","2.3","3.7","3.4","4.3","4.4","3.9","6.2","G"
"Rick Reuschel","1010852","4.2","6.1","4.7","4.7","4.8","6.5","4.5","3.9","4.7","3","1.2","5.2","2.8","H"
"Mike Jackson","    732","0","0.7","0.6","0.1","1.5","0.4","0.9","1.1","0.3","0.7","1.7","1.9","0.3","A"
"Vida Blue","1001094","-1.1","1.5","8.8","2.1","2.1","5.5","5.1","7.6","4.9","5.6","1.1","3.3","1","C"
"Joe Nathan","   1122","-0.3","-0.1","1.2","3","2.6","3.1","2","1.9","1.8","-0.1","1.7","2.4","0.2","B"
"Bob Ojeda","1009756","0.5","0.2","1.8","2.8","3.1","4.2","0.5","5.1","1","0.7","2.1","1.4","0.3","B"
"Guillermo Mota","   1467","0","0.2","-0.3","0.4","2.1","1.3","0.6","-0.3","0.2","0.1","0.1","0.2","-0.1","A"
"Bob Forsch","1004233","1.3","3","0.4","2","1.8","2.8","3.5","1.4","2.1","-0.1","0","0.6","2.2","B"
"Dave Stewart","1012519","0.3","0.4","1.7","0.5","-0.1","1.5","4.8","5.1","3.2","4.9","1.5","1.2","0.9","J"
"Derek Lowe","    199","0.4","2.4","2.2","2.4","1.6","4.6","2.4","2.2","2.8","4.4","3.1","4.3","1.9","F"
"Dennis Lamp","1007284","0.2","2.9","3.3","1.4","2.3","3.4","1.7","0","2","0.5","0.5","1.3","1.6","E"
