Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Nelson Briles,1001432,1.2,3.5,2.7,1.3,0.4,2.6
Mark Gubicza,1005115,1.6,2.1,2.1,2.3,2.7,3.0
Luis Tiant,1013054,7.4,0.5,0.5,0.9,3.6,5.0
Brad Lidge,563,3.7,2.5,1.1,0.8,2.2,-0.8
Bud Black,1001007,4.3,3.6,0.1,1.1,0.6,3.4
Steve Farr,1003953,1.0,0.6,0.9,0.8,1.5,0.8
Ron Perranoski,1010201,0.0,0.5,0.4,0.2,0.3,0.5
J.C. Romero,754,-0.5,1.0,-0.5,0.0,0.0,-0.2
Paul Wilson,1234,1.6,1.4,1.2,1.5,2.0,-0.1
Marty Pattin,1010074,4.3,3.4,4.6,1.8,1.0,2.3
Walt Terrell,1012924,4.8,0.6,3.2,1.5,1.7,0.0
Bartolo Colon,375,4.3,3.9,4.4,4.7,1.4,4.1
Joe Blanton,4849,1.8,2.1,1.8,0.6,2.5,-0.4
Ray Sadecki,1011360,4.6,0.7,1.0,3.2,0.4,1.3
Lee Smith,1012175,2.7,1.8,2.9,1.6,1.5,2.4
Kyle Lohse,739,1.5,3.0,2.8,0.7,0.5,2.2
Anibal Sanchez,3284,3.7,3.5,5.8,3.3,1.3,0.9
Tim Burke,1001692,0.7,2.3,-0.3,0.8,0.6,0.4
Rich Gossage,1004894,1.0,3.2,1.4,3.6,3.5,1.5
Dave Smith,1012117,-0.6,0.2,0.3,1.3,0.2,2.8
Javier Vazquez,801,2.0,3.5,4.7,4.8,4.9,5.8
C.J. Wilson,3580,-0.5,1.8,4.3,5.2,2.6,2.9
Bill Lee,1007448,3.7,3.5,-0.2,1.2,0.7,1.8
Bruce Ruffin,1011294,2.2,-0.3,1.7,0.7,0.5,1.6
Tom Glavine,90,3.3,3.6,4.3,5.3,3.6,4.8
Mark Redman,491,0.5,4.0,4.2,1.4,2.1,1.2
Dennis Martinez,1008161,1.9,0.7,0.1,0.0,1.0,2.8
Scott Schoeneweis,33,2.0,0.1,1.0,0.9,0.9,0.2
Dave Dravecky,1003486,1.6,0.6,2.8,1.4,3.0,0.3
Larry Gura,1005150,1.8,0.0,1.1,3.1,1.3,4.1
Antonio Alfonseca,260,0.9,0.7,0.5,0.6,0.3,0.4
Kevin Correia,1767,0.4,3.1,0.1,0.3,0.9,1.5
Eddie Guardado,727,0.0,0.4,-0.5,1.4,1.2,1.4
Burke Badenhop,9736,0.3,0.8,0.2,0.2,0.7,0.3
Jason Hammel,4538,3.2,1.1,2.6,0.6,1.8,2.3
Randy Myers,1009427,2.0,1.3,0.3,1.6,0.5,0.4
John Lackey,1507,5.3,5.0,1.4,3.2,3.4,0.9
Matt Thornton,1918,0.2,-0.9,0.9,0.9,1.8,2.3
Jimmy Key,1006885,1.6,4.6,2.4,5.3,2.7,5.2
Jason Marquis,105,-0.5,1.4,1.7,3.2,-0.5,1.0
Tom Browning,1001566,1.5,0.6,1.8,2.7,1.5,0.8
Al Holland,1005947,1.1,1.1,1.0,2.1,-1.0,0.5
Frank Viola,1013435,5.4,6.3,5.0,5.8,2.5,3.7
