Name,playerid,WAR22,WAR23,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29
Mark Buehrle,225,4.0,4.3,4.3,4.5,5.9,1.7,3.3,4.3
Jose Rijo,349,0.8,3.8,2.1,4.5,6.1,5.1,7.1,4.1
Johan Santana,755,0.0,3.4,3.7,6.8,7.1,6.7,4.0,5.3
Johnny Cueto,6893,1.0,1.4,2.5,3.0,4.3,0.7,4.5,4.1
Ross Grimsley,1005071,1.4,1.6,4.2,0.9,1.1,0.7,2.7,0.2
Adam Eaton,1029,1.6,1.0,0.1,2.5,2.4,1.7,0.4,-0.1
Tom Gordon,282,2.5,1.6,1.0,2.5,2.2,3.5,2.8,4.4
Don Sutton,1012745,3.0,4.0,3.9,1.9,7.1,6.8,6.0,4.7
Matt Garza,3340,0.6,1.1,3.3,2.8,2.1,4.7,0.9,2.1
Bobby Bolin,1001146,-0.4,0.6,1.4,1.4,1.6,1.9,-0.6,2.6
Don Robinson,1011061,2.5,2.1,-0.5,1.0,0.0,2.0,0.8,0.5
CC Sabathia,404,3.5,2.8,3.6,5.0,6.4,7.4,5.8,5.5
Ron Darling,1002989,0.6,1.0,2.2,3.5,2.0,2.6,2.7,0.2
Dan Haren,1757,0.7,0.5,3.7,3.8,4.7,6.1,5.3,3.6
Tony Cloninger,1002359,0.1,2.7,3.8,1.5,-0.2,0.4,0.1,0.4
Tommy John,1006515,3.0,3.8,2.6,2.9,3.8,4.4,4.5,3.0
Milt Pappas,1009989,1.4,1.2,2.1,4.8,3.0,3.7,3.8,2.2
Brad Radke,748,0.8,2.8,4.9,4.2,3.7,4.2,4.5,2.1
Phil Hughes,7450,0.4,2.3,3.1,0.5,1.9,1.0,6.4,1.2
Jerry Reuss,1010853,1.4,2.8,4.0,2.5,4.6,2.9,3.9,1.0
Pedro Astacio,862,1.8,2.6,1.5,1.0,2.6,3.0,1.6,4.2
Jeff Weaver,503,1.6,3.1,4.0,4.1,2.2,4.3,2.4,0.3
Juan Marichal,1008106,1.6,2.3,1.7,6.7,6.4,6.8,6.3,3.7
Tom Niedenfuer,1009578,1.3,1.1,0.3,2.8,-0.7,-0.5,-0.1,-0.5
Roger Clemens,815,2.3,7.1,8.4,9.2,5.1,8.2,8.5,7.6
Carl Pavano,790,0.9,2.1,1.8,0.4,0.8,3.3,4.5,0.6
Fernando Valenzuela,1013327,4.2,5.2,5.4,6.2,2.3,-0.2,1.6,1.7
Steve Avery,1706,3.5,5.1,2.5,2.5,2.4,-0.1,0.3,0.0
Tom Murphy,1009376,1.3,2.7,0.0,0.6,0.8,1.5,0.3,0.1
Pete Richert,1010922,1.0,0.4,0.1,2.8,2.4,2.5,0.1,0.7
Mario Soto,1012289,-0.1,3.1,3.3,7.4,4.5,2.5,3.1,0.3
Carlos Zambrano,305,4.7,4.7,4.2,3.9,2.8,2.8,3.8,1.9
Tony Armas Jr.,761,1.0,3.6,1.2,0.5,-0.1,-0.4,0.9,0.0
Roy Halladay,1303,0.5,-0.3,4.0,6.8,7.0,2.8,3.8,5.1
Scott Erickson,137,0.8,3.2,1.9,3.3,2.2,3.4,3.6,4.7
Brett Myers,962,2.3,1.1,3.4,3.5,1.2,1.8,-0.5,3.8
Vicente Padilla,964,1.0,0.7,3.6,2.7,1.3,0.6,3.2,0.7
Pete Harnisch,1005374,0.2,2.0,3.3,2.5,3.2,0.3,1.7,0.7
Cal Koonce,1007101,0.1,0.7,1.4,0.4,1.1,0.2,-0.6,0.5
Frank Tanana,1012818,6.0,5.8,2.8,1.3,3.5,1.2,2.6,2.6
Jake Peavy,1051,0.8,4.1,5.4,4.4,6.7,3.7,2.7,1.8
